transaction_id,date,time,day_of_week,fraud_type,fraud_lure,amount_inr,upi_app,transaction_type,sender_upi_id,receiver_upi_id,linked_bank,victim_state,victim_age_group,victim_gender,victim_occupation,device_type,first_time_upi_user,pin_otp_shared,report_delay,reported_to_cybercrime_portal,recovery_status,is_fraud
TXN269879802007,28-12-2023,08:22:56,Thursday,Phishing,Electricity Bill Disconnection,3150,Google Pay,Collect Request,txn5616@oksbi,txn4335@ybl,SBI,Telangana,46-55,Female,Salaried Employee,iOS,Yes,Yes,6-24 hours,Yes,Fully Recovered,1
TXN741535897688,30-08-2024,14:57:58,Friday,Fake UPI App,Prize/Lottery Win,1350,PhonePe,Collect Request,mb3426@axl,pay1685@ybl,ICICI Bank,West Bengal,18-25,Male,Student,Android,Yes,No,< 1 hour,No,Fully Recovered,1
TXN960420184902,08-04-2024,21:50:55,Monday,Phishing,Electricity Bill Disconnection,4800,Paytm,P2P,acct5065@ybl,pay2771@axl,SBI,Maharashtra,18-25,Female,Retired,Feature Phone,Yes,Yes,3-7 days,No,Partially Recovered,1
TXN224672594992,10-05-2023,20:14:12,Wednesday,Fake UPI App,Refund Processing,3250,Google Pay,P2P,txn3925@ybl,user2776@axl,SBI,West Bengal,56-65,Male,Self-employed/Business,iOS,Yes,No,6-24 hours,No,Not Recovered,1
TXN446273815783,19-03-2024,18:20:27,Tuesday,Fake Collect Request,Delivery Agent Scam,8150,PhonePe,P2M,user5920@apl,txn7691@ibl,Bank of Baroda,Haryana,26-35,Male,Homemaker,Feature Phone,No,No,1-6 hours,No,Not Recovered,1
TXN910872751961,17-05-2024,17:35:08,Friday,Phishing,KYC Update Required,8100,PhonePe,P2M,pay2389@ybl,mb6491@okhdfcbank,HDFC Bank,Andhra Pradesh,56-65,Female,Student,Android,Yes,Yes,6-24 hours,Yes,Not Recovered,1
TXN567199758169,27-11-2023,17:14:51,Monday,Phishing,Job Offer/Part-time Work,1000,PhonePe,Collect Request,pay3881@apl,acct1822@apl,Bank of Baroda,Odisha,36-45,Female,Self-employed/Business,Android,No,No,< 1 hour,No,Not Recovered,1
TXN403386445743,12-12-2023,21:07:29,Tuesday,Phishing,Loan Offer,4200,Paytm,P2M,mb8939@oksbi,txn8206@okhdfcbank,Axis Bank,Odisha,36-45,Female,Student,iOS,Yes,Yes,1-3 days,Yes,Partially Recovered,1
TXN519084398943,31-03-2025,11:17:21,Monday,Vishing,Refund Processing,6150,PhonePe,P2P,acct1096@ibl,txn7389@axl,ICICI Bank,Telangana,26-35,Male,Retired,Android,Yes,No,1-6 hours,No,Partially Recovered,1
TXN804735188129,03-10-2024,18:34:51,Thursday,Fake Collect Request,Loan Offer,2900,Google Pay,P2M,acct3223@paytm,pay1823@ybl,Yes Bank,Maharashtra,36-45,Male,Farmer,Feature Phone,No,No,6-24 hours,No,Fully Recovered,1
TXN782987331574,23-04-2024,11:29:20,Tuesday,Vishing,Job Offer/Part-time Work,34100,PhonePe,P2P,pay4908@okicici,acct2874@oksbi,Other,Madhya Pradesh,46-55,Male,Student,Android,No,Yes,1-3 days,No,Not Recovered,1
TXN760068866484,20-07-2024,17:49:23,Saturday,Phishing,Job Offer/Part-time Work,5950,Google Pay,Collect Request,user1672@ibl,mb8018@ibl,IndusInd Bank,Madhya Pradesh,18-25,Male,Daily Wage Worker,Android,Yes,Yes,1-6 hours,No,Not Recovered,1
TXN394602435240,10-06-2023,14:21:00,Saturday,Fake UPI App,Prize/Lottery Win,11750,PhonePe,P2P,txn5022@okhdfcbank,txn8385@oksbi,Axis Bank,Rajasthan,26-35,Female,Student,Android,No,No,3-7 days,Yes,Partially Recovered,1
TXN884458179683,19-07-2024,15:42:24,Friday,Vishing,Loan Offer,7650,PhonePe,Collect Request,acct8342@okaxis,user5820@oksbi,HDFC Bank,Telangana,26-35,Female,Daily Wage Worker,Android,No,Yes,< 1 hour,Yes,Partially Recovered,1
TXN631453260232,19-05-2024,17:19:42,Sunday,Fake Collect Request,Refund Processing,9350,PhonePe,P2M,txn9595@ybl,user4180@ybl,HDFC Bank,Uttar Pradesh,66+,Male,Self-employed/Business,iOS,Yes,No,1-3 days,No,Under Investigation,1
TXN172250436572,19-11-2023,12:19:00,Sunday,OTP Sharing,Job Offer/Part-time Work,600,PhonePe,Collect Request,acct9056@okhdfcbank,mb1878@okicici,Yes Bank,Kerala,36-45,Female,Self-employed/Business,Android,No,Yes,6-24 hours,Yes,Not Recovered,1
TXN788087209613,31-08-2023,19:19:05,Thursday,Money Mule,Customer Care Impersonation,1350,Google Pay,P2M,pay5335@okhdfcbank,pay4929@okicici,Yes Bank,Tamil Nadu,46-55,Male,Self-employed/Business,Feature Phone,No,No,6-24 hours,No,Not Recovered,1
TXN177920311528,17-10-2024,07:00:26,Thursday,QR Code Swap,Prize/Lottery Win,7400,Paytm,P2P,user3718@ybl,mb5728@paytm,HDFC Bank,Karnataka,26-35,Male,Student,iOS,Yes,No,1-3 days,Yes,Not Recovered,1
TXN732517733550,06-08-2023,13:19:44,Sunday,QR Code Swap,Prize/Lottery Win,4200,PhonePe,P2P,user3870@paytm,mb8245@ybl,SBI,Delhi,18-25,Male,Retired,Feature Phone,No,No,6-24 hours,No,Under Investigation,1
TXN950275468961,03-10-2023,23:27:40,Tuesday,Fake UPI App,Loan Offer,80800,Paytm,P2P,acct9431@okaxis,mb8569@axl,HDFC Bank,Uttar Pradesh,26-35,Female,Retired,Feature Phone,Yes,No,6-24 hours,Yes,Not Recovered,1
TXN228475055567,26-05-2023,09:23:39,Friday,SIM Swap,KYC Update Required,5400,PhonePe,P2M,acct2924@okicici,acct5781@apl,Other,Telangana,36-45,Female,Salaried Employee,Android,Yes,No,1-6 hours,No,Not Recovered,1
TXN747842026084,23-03-2025,10:53:30,Sunday,Money Mule,KYC Update Required,4250,Google Pay,P2P,mb9022@okicici,acct9824@paytm,Kotak Mahindra Bank,Telangana,26-35,Female,Self-employed/Business,iOS,No,No,1-3 days,Yes,Not Recovered,1
TXN650298037487,19-03-2024,11:48:34,Tuesday,Vishing,Refund Processing,62350,Paytm,P2P,mb6439@okhdfcbank,acct2633@apl,ICICI Bank,Odisha,26-35,Male,Self-employed/Business,Feature Phone,Yes,No,> 7 days,No,Partially Recovered,1
TXN778759018230,11-07-2024,01:09:26,Thursday,Fake UPI App,Investment Scheme,54900,Google Pay,P2M,user4846@ybl,pay2480@axl,Yes Bank,Rajasthan,66+,Male,Self-employed/Business,iOS,No,No,1-6 hours,No,Not Recovered,1
TXN743870697885,10-07-2023,18:45:55,Monday,Phishing,Prize/Lottery Win,1100,PhonePe,P2P,pay4804@paytm,txn8529@ybl,Axis Bank,Haryana,18-25,Female,Retired,Android,No,Yes,1-6 hours,No,Not Recovered,1
TXN425125927992,11-02-2025,00:51:29,Tuesday,Social Engineering,Loan Offer,6300,PhonePe,Collect Request,user7484@ybl,user1803@paytm,ICICI Bank,Karnataka,56-65,Female,Farmer,Android,Yes,Yes,1-3 days,Yes,Not Recovered,1
TXN457749775324,19-01-2024,18:14:38,Friday,SIM Swap,Electricity Bill Disconnection,900,Google Pay,Collect Request,acct3877@oksbi,pay9837@ibl,IndusInd Bank,Tamil Nadu,36-45,Female,Self-employed/Business,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN114579586722,25-09-2024,14:17:53,Wednesday,Phishing,KYC Update Required,40800,Google Pay,P2M,txn9791@okhdfcbank,acct7038@ybl,Kotak Mahindra Bank,Kerala,26-35,Female,Homemaker,Android,Yes,Yes,6-24 hours,No,Not Recovered,1
TXN248337633154,19-11-2024,12:40:23,Tuesday,Phishing,Electricity Bill Disconnection,2100,Google Pay,P2M,acct8432@ibl,mb7866@okicici,ICICI Bank,Tamil Nadu,56-65,Male,Student,Android,No,Yes,< 1 hour,Yes,Not Recovered,1
TXN200737244056,29-05-2024,16:53:31,Wednesday,Fake Collect Request,KYC Update Required,68350,BHIM,Collect Request,pay1349@okaxis,txn4990@okicici,Bank of Baroda,Karnataka,26-35,Male,Farmer,Android,Yes,No,1-6 hours,Yes,Not Recovered,1
TXN745267002855,30-10-2024,09:53:48,Wednesday,Fake Collect Request,Prize/Lottery Win,6900,PhonePe,Collect Request,txn1258@okicici,txn1858@okicici,SBI,Uttar Pradesh,18-25,Female,Salaried Employee,Android,No,No,6-24 hours,Yes,Not Recovered,1
TXN637334604519,05-06-2024,14:47:04,Wednesday,QR Code Swap,Investment Scheme,18400,Google Pay,P2M,acct2204@okhdfcbank,txn3430@okhdfcbank,Punjab National Bank,Tamil Nadu,26-35,Male,Student,Android,Yes,No,< 1 hour,No,Under Investigation,1
TXN540034427145,08-08-2023,10:40:37,Tuesday,Fake Collect Request,Investment Scheme,4450,PhonePe,P2M,acct2557@ibl,acct6120@ybl,Punjab National Bank,Delhi,26-35,Female,Homemaker,iOS,Yes,No,1-6 hours,Yes,Not Recovered,1
TXN158931506885,18-04-2024,22:43:59,Thursday,QR Code Swap,Job Offer/Part-time Work,650,Google Pay,P2M,txn6119@ibl,user9313@oksbi,Axis Bank,Karnataka,18-25,Female,Salaried Employee,Android,No,No,1-6 hours,No,Not Recovered,1
TXN442576940326,06-09-2023,16:14:54,Wednesday,Phishing,Delivery Agent Scam,16000,PhonePe,P2M,txn6751@okaxis,pay3347@axl,Punjab National Bank,Karnataka,26-35,Male,Student,Android,Yes,Yes,6-24 hours,No,Not Recovered,1
TXN557165098695,11-06-2023,08:40:01,Sunday,Phishing,Job Offer/Part-time Work,8100,Google Pay,P2M,txn4531@apl,user6655@axl,SBI,Rajasthan,26-35,Male,Salaried Employee,Android,No,Yes,6-24 hours,Yes,Not Recovered,1
TXN650744131878,23-07-2023,10:43:37,Sunday,QR Code Swap,Delivery Agent Scam,5350,PhonePe,Collect Request,mb6802@okhdfcbank,acct1693@axl,Kotak Mahindra Bank,Maharashtra,66+,Male,Salaried Employee,Android,Yes,No,6-24 hours,Yes,Not Recovered,1
TXN917376405323,20-04-2023,13:04:55,Thursday,Vishing,Delivery Agent Scam,3650,PhonePe,P2P,txn4630@ibl,pay2251@apl,Punjab National Bank,Gujarat,26-35,Male,Daily Wage Worker,iOS,Yes,Yes,< 1 hour,Yes,Partially Recovered,1
TXN722263658623,08-01-2025,08:32:12,Wednesday,Social Engineering,Prize/Lottery Win,5000,PhonePe,P2P,mb6295@ibl,pay8205@okhdfcbank,SBI,Kerala,36-45,Male,Salaried Employee,iOS,Yes,Yes,3-7 days,Yes,Not Recovered,1
TXN992962570107,24-07-2024,13:19:50,Wednesday,Vishing,Electricity Bill Disconnection,1550,PhonePe,P2P,mb4084@ibl,mb8792@apl,Other,Karnataka,36-45,Male,Student,Android,No,Yes,1-6 hours,No,Not Recovered,1
TXN811379241054,02-09-2023,22:28:06,Saturday,Fake UPI App,Job Offer/Part-time Work,21700,Google Pay,Collect Request,txn2079@ibl,user7333@ybl,Punjab National Bank,Karnataka,36-45,Male,Daily Wage Worker,Android,Yes,No,1-6 hours,No,Partially Recovered,1
TXN201045089995,15-12-2023,18:42:58,Friday,Fake Collect Request,Customer Care Impersonation,650,BHIM,P2M,acct9331@ibl,user6940@ybl,Punjab National Bank,Tamil Nadu,18-25,Male,Self-employed/Business,Feature Phone,No,No,1-6 hours,No,Partially Recovered,1
TXN949084306678,02-10-2023,22:21:49,Monday,QR Code Swap,Loan Offer,2550,Google Pay,P2M,mb3712@paytm,user7731@ibl,Axis Bank,Telangana,26-35,Female,Retired,Android,Yes,No,6-24 hours,Yes,Not Recovered,1
TXN981325990907,21-02-2025,17:28:39,Friday,Vishing,Prize/Lottery Win,17350,Google Pay,Collect Request,mb3267@ybl,user8873@ibl,Bank of Baroda,Maharashtra,26-35,Female,Self-employed/Business,Android,Yes,Yes,1-3 days,No,Partially Recovered,1
TXN190170799779,19-10-2024,21:45:54,Saturday,QR Code Swap,Impersonation of Known Person,650,PhonePe,P2P,txn4678@okaxis,txn2623@ibl,HDFC Bank,Madhya Pradesh,26-35,Female,Self-employed/Business,Android,Yes,No,< 1 hour,No,Not Recovered,1
TXN560585590540,28-08-2023,08:18:58,Monday,Fake UPI App,Prize/Lottery Win,12250,Paytm,P2P,mb8489@okhdfcbank,user9189@apl,SBI,Madhya Pradesh,36-45,Female,Student,Feature Phone,Yes,No,1-6 hours,Yes,Partially Recovered,1
TXN512235425357,17-04-2023,16:36:15,Monday,OTP Sharing,Digital Arrest Threat,2001,Google Pay,P2P,txn1266@ibl,user6649@oksbi,SBI,Tamil Nadu,26-35,Male,Self-employed/Business,Android,Yes,Yes,> 7 days,Yes,Not Recovered,1
TXN322441120293,01-02-2025,16:49:37,Saturday,SIM Swap,Digital Arrest Threat,2200,Google Pay,P2M,user6170@ybl,mb7524@apl,ICICI Bank,Uttar Pradesh,26-35,Female,Salaried Employee,Android,Yes,No,6-24 hours,Yes,Fully Recovered,1
TXN566979258469,28-07-2024,10:48:41,Sunday,Phishing,Loan Offer,2200,PhonePe,Collect Request,user8055@okicici,mb5813@ibl,IndusInd Bank,Punjab,26-35,Male,Farmer,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN254752570608,15-07-2023,07:42:18,Saturday,Vishing,Electricity Bill Disconnection,8500,Google Pay,Collect Request,mb8179@okaxis,pay2101@oksbi,ICICI Bank,Telangana,26-35,Male,Retired,Android,Yes,Yes,< 1 hour,Yes,Not Recovered,1
TXN874212049318,20-01-2025,12:24:36,Monday,Phishing,Customer Care Impersonation,1400,Google Pay,P2M,acct4515@ybl,acct4279@okhdfcbank,Punjab National Bank,Bihar,26-35,Female,Salaried Employee,Android,Yes,Yes,1-3 days,Yes,Not Recovered,1
TXN323274444183,17-08-2023,20:28:11,Thursday,Social Engineering,Job Offer/Part-time Work,2350,Google Pay,P2M,pay4878@paytm,user6912@apl,HDFC Bank,West Bengal,66+,Female,Salaried Employee,Android,Yes,Yes,6-24 hours,Yes,Not Recovered,1
TXN746992988388,07-11-2024,12:51:35,Thursday,Phishing,Delivery Agent Scam,27150,Google Pay,P2M,pay3114@axl,mb1907@okhdfcbank,SBI,Maharashtra,66+,Female,Student,Feature Phone,No,No,6-24 hours,Yes,Not Recovered,1
TXN892956100142,12-09-2024,09:10:10,Thursday,Vishing,Impersonation of Known Person,15650,PhonePe,P2P,mb6531@okaxis,user2330@okaxis,HDFC Bank,Bihar,36-45,Male,Student,Android,Yes,Yes,< 1 hour,No,Not Recovered,1
TXN450977696076,16-01-2025,18:16:41,Thursday,Phishing,Delivery Agent Scam,5250,BHIM,P2M,txn7532@okicici,txn9437@apl,Bank of Baroda,Delhi,36-45,Male,Salaried Employee,Android,Yes,Yes,< 1 hour,Yes,Not Recovered,1
TXN123611025550,18-07-2023,11:29:07,Tuesday,Vishing,Investment Scheme,2400,PhonePe,Collect Request,user7442@apl,acct4944@oksbi,Canara Bank,Karnataka,56-65,Female,Homemaker,Feature Phone,Yes,No,1-6 hours,No,Not Recovered,1
TXN655710136742,18-11-2024,11:03:18,Monday,QR Code Swap,Refund Processing,46450,PhonePe,P2P,acct5582@okhdfcbank,pay2584@axl,HDFC Bank,Andhra Pradesh,26-35,Male,Salaried Employee,Android,Yes,No,< 1 hour,Yes,Not Recovered,1
TXN430036462228,17-04-2024,19:21:35,Wednesday,Social Engineering,Delivery Agent Scam,13250,PhonePe,P2M,mb6511@apl,mb9721@paytm,Axis Bank,Tamil Nadu,26-35,Male,Daily Wage Worker,Android,Yes,Yes,< 1 hour,Yes,Fully Recovered,1
TXN892975625286,26-03-2025,15:30:52,Wednesday,Phishing,KYC Update Required,2450,Google Pay,P2M,mb7229@okicici,pay1517@okhdfcbank,ICICI Bank,Kerala,36-45,Female,Homemaker,Feature Phone,Yes,Yes,1-3 days,No,Not Recovered,1
TXN488893282253,13-10-2023,02:20:26,Friday,Phishing,Loan Offer,16700,Google Pay,P2M,txn8932@oksbi,pay5571@apl,Axis Bank,Delhi,36-45,Male,Farmer,Android,Yes,Yes,6-24 hours,No,Not Recovered,1
TXN885787089052,31-01-2024,10:19:49,Wednesday,Vishing,Refund Processing,1950,Paytm,P2M,user6674@paytm,txn8849@oksbi,Axis Bank,Delhi,36-45,Female,Daily Wage Worker,Android,Yes,Yes,1-6 hours,No,Not Recovered,1
TXN275789144602,24-10-2023,19:17:59,Tuesday,Fake Collect Request,Electricity Bill Disconnection,2450,Google Pay,P2M,acct8793@paytm,pay5706@ibl,SBI,Tamil Nadu,36-45,Male,Homemaker,Android,Yes,No,< 1 hour,Yes,Partially Recovered,1
TXN108750850618,18-01-2024,16:58:49,Thursday,Phishing,Delivery Agent Scam,9400,Paytm,P2P,txn2758@ibl,txn8444@apl,Other,Gujarat,56-65,Male,Retired,Android,No,Yes,1-3 days,No,Not Recovered,1
TXN195897714803,18-09-2024,14:08:54,Wednesday,QR Code Swap,Refund Processing,2450,Google Pay,P2P,acct2562@okicici,pay8822@ibl,HDFC Bank,Uttar Pradesh,46-55,Female,Salaried Employee,Android,Yes,No,6-24 hours,Yes,Not Recovered,1
TXN800583966022,11-12-2023,00:24:15,Monday,QR Code Swap,KYC Update Required,3350,Google Pay,P2M,txn7021@oksbi,pay3188@paytm,SBI,Maharashtra,46-55,Male,Self-employed/Business,Android,Yes,No,6-24 hours,No,Fully Recovered,1
TXN657928656291,04-09-2023,13:38:23,Monday,QR Code Swap,Electricity Bill Disconnection,8850,Google Pay,P2M,pay9792@okicici,pay6375@apl,Kotak Mahindra Bank,Madhya Pradesh,46-55,Female,Student,Android,No,No,1-6 hours,Yes,Fully Recovered,1
TXN479776888469,26-06-2024,08:13:45,Wednesday,Fake Collect Request,Job Offer/Part-time Work,1550,PhonePe,P2M,user9866@okaxis,user8734@okaxis,Bank of Baroda,Rajasthan,18-25,Male,Salaried Employee,Android,Yes,No,1-6 hours,Yes,Not Recovered,1
TXN681508758920,19-01-2024,12:49:08,Friday,SIM Swap,Refund Processing,92350,PhonePe,Collect Request,pay4648@okaxis,user5888@paytm,SBI,Kerala,26-35,Female,Retired,Feature Phone,No,No,< 1 hour,Yes,Partially Recovered,1
TXN366497035560,18-02-2025,17:27:34,Tuesday,Vishing,Delivery Agent Scam,3900,Google Pay,P2P,user7590@paytm,pay9843@oksbi,ICICI Bank,Uttar Pradesh,26-35,Female,Daily Wage Worker,iOS,Yes,Yes,< 1 hour,Yes,Not Recovered,1
TXN571066644856,28-05-2023,08:18:14,Sunday,Fake UPI App,Digital Arrest Threat,15200,PhonePe,Collect Request,mb9120@okaxis,txn7244@apl,Axis Bank,Tamil Nadu,46-55,Female,Salaried Employee,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN507365336000,21-02-2024,17:26:09,Wednesday,Vishing,Impersonation of Known Person,1600,Google Pay,Collect Request,user9775@oksbi,user5398@axl,Axis Bank,Rajasthan,46-55,Male,Student,Feature Phone,No,No,< 1 hour,Yes,Not Recovered,1
TXN534670074164,18-02-2025,16:02:55,Tuesday,Phishing,Impersonation of Known Person,19650,Paytm,P2P,pay6269@ybl,acct8639@apl,SBI,Gujarat,36-45,Male,Farmer,Feature Phone,Yes,Yes,< 1 hour,Yes,Under Investigation,1
TXN268771565771,24-01-2025,12:16:23,Friday,QR Code Swap,Refund Processing,5800,PhonePe,P2P,pay6404@oksbi,acct5026@paytm,SBI,West Bengal,46-55,Female,Homemaker,iOS,No,No,< 1 hour,No,Not Recovered,1
TXN154409571483,15-10-2024,16:43:21,Tuesday,Vishing,Loan Offer,21850,Google Pay,P2P,user7756@okicici,pay2113@okicici,ICICI Bank,Andhra Pradesh,36-45,Male,Student,Feature Phone,No,No,6-24 hours,Yes,Not Recovered,1
TXN265460975402,10-04-2023,10:29:23,Monday,Phishing,Loan Offer,8950,PhonePe,P2P,pay4144@apl,txn6807@ybl,Axis Bank,Andhra Pradesh,18-25,Male,Self-employed/Business,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN961763314712,11-05-2024,07:25:29,Saturday,Fake Collect Request,KYC Update Required,218400,Amazon Pay,P2M,txn2562@apl,user4764@oksbi,ICICI Bank,Maharashtra,46-55,Male,Self-employed/Business,Android,No,No,6-24 hours,Yes,Not Recovered,1
TXN844700757105,09-03-2025,21:30:17,Sunday,Phishing,Digital Arrest Threat,1050,Paytm,P2P,mb6435@axl,pay2284@apl,Axis Bank,Haryana,36-45,Male,Homemaker,iOS,Yes,No,1-6 hours,Yes,Not Recovered,1
TXN424779482234,20-03-2024,06:27:14,Wednesday,Fake UPI App,Digital Arrest Threat,4500,PhonePe,P2P,pay2204@okhdfcbank,txn3526@axl,ICICI Bank,Kerala,26-35,Female,Daily Wage Worker,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN114539486168,29-03-2025,19:09:47,Saturday,Vishing,Prize/Lottery Win,2400,PhonePe,P2P,txn7779@axl,user4977@apl,ICICI Bank,Karnataka,26-35,Male,Self-employed/Business,Android,Yes,Yes,< 1 hour,Yes,Not Recovered,1
TXN519275532872,21-09-2023,17:10:08,Thursday,Vishing,Prize/Lottery Win,2600,PhonePe,P2P,txn8212@ibl,acct3230@ybl,HDFC Bank,Karnataka,26-35,Male,Student,Android,No,Yes,1-6 hours,Yes,Not Recovered,1
TXN944741523484,23-02-2024,16:44:12,Friday,QR Code Swap,Prize/Lottery Win,1300,PhonePe,P2M,mb1440@paytm,pay8183@ybl,HDFC Bank,Kerala,26-35,Female,Self-employed/Business,iOS,Yes,No,< 1 hour,No,Not Recovered,1
TXN870343313387,10-03-2025,07:54:50,Monday,SIM Swap,KYC Update Required,6150,Google Pay,P2M,mb2392@okhdfcbank,pay6816@okicici,Other,Andhra Pradesh,26-35,Female,Self-employed/Business,Android,Yes,No,6-24 hours,No,Fully Recovered,1
TXN628386473206,22-01-2025,16:36:41,Wednesday,OTP Sharing,Job Offer/Part-time Work,3350,PhonePe,P2M,user5840@axl,user2901@okicici,Axis Bank,Kerala,26-35,Male,Self-employed/Business,Android,Yes,Yes,1-6 hours,No,Partially Recovered,1
TXN715601913080,22-03-2024,11:29:50,Friday,Phishing,Loan Offer,8900,PhonePe,P2P,acct8570@oksbi,acct4022@okicici,SBI,Karnataka,46-55,Male,Salaried Employee,Android,Yes,Yes,1-3 days,No,Fully Recovered,1
TXN640575907758,15-01-2025,16:25:01,Wednesday,SIM Swap,Delivery Agent Scam,39750,PhonePe,P2M,mb6134@axl,mb7431@okhdfcbank,SBI,Tamil Nadu,26-35,Female,Retired,Android,Yes,No,1-6 hours,Yes,Not Recovered,1
TXN812617370241,22-03-2024,11:29:39,Friday,Phishing,KYC Update Required,7450,PhonePe,P2P,pay3733@paytm,txn3298@okicici,HDFC Bank,Haryana,36-45,Female,Self-employed/Business,Android,Yes,Yes,6-24 hours,Yes,Not Recovered,1
TXN345993620171,17-02-2024,20:39:03,Saturday,Fake UPI App,Loan Offer,81750,Google Pay,P2M,mb5729@okicici,acct9115@apl,ICICI Bank,Telangana,46-55,Female,Self-employed/Business,iOS,Yes,No,< 1 hour,No,Not Recovered,1
TXN581409926304,05-09-2024,08:07:17,Thursday,SIM Swap,Customer Care Impersonation,16000,PhonePe,P2P,user4882@oksbi,mb6744@axl,Kotak Mahindra Bank,Delhi,46-55,Female,Salaried Employee,Android,No,No,1-3 days,Yes,Not Recovered,1
TXN168370591034,17-09-2023,16:50:13,Sunday,Fake UPI App,Refund Processing,19350,PhonePe,P2M,txn3078@okicici,pay3396@ibl,HDFC Bank,Uttar Pradesh,26-35,Male,Farmer,iOS,No,No,6-24 hours,No,Not Recovered,1
TXN906797440309,10-12-2023,18:43:25,Sunday,QR Code Swap,Customer Care Impersonation,7200,Google Pay,P2M,user8511@ibl,user9756@axl,Kotak Mahindra Bank,Tamil Nadu,26-35,Male,Retired,Android,No,No,6-24 hours,No,Not Recovered,1
TXN572266150378,10-11-2023,22:52:13,Friday,QR Code Swap,Loan Offer,3150,PhonePe,P2P,pay3161@ybl,pay5489@okhdfcbank,SBI,Uttar Pradesh,36-45,Female,Homemaker,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN862023035909,30-01-2025,12:05:23,Thursday,OTP Sharing,Loan Offer,5400,PhonePe,P2M,pay8826@okhdfcbank,pay7276@okhdfcbank,SBI,Uttar Pradesh,26-35,Female,Salaried Employee,Android,No,No,1-6 hours,Yes,Not Recovered,1
TXN925235072673,14-07-2023,08:23:56,Friday,Vishing,Prize/Lottery Win,2550,Google Pay,P2M,user7291@ibl,acct6152@okicici,HDFC Bank,Andhra Pradesh,36-45,Male,Homemaker,Android,Yes,No,3-7 days,Yes,Not Recovered,1
TXN221916450226,10-12-2023,10:05:15,Sunday,Fake Collect Request,Prize/Lottery Win,10000,Google Pay,Collect Request,pay9185@okhdfcbank,mb1197@ibl,Punjab National Bank,Maharashtra,56-65,Male,Self-employed/Business,Android,Yes,No,6-24 hours,No,Partially Recovered,1
